web-scraper-order,article,contenu,ToF
111,احتجاجات عارمة في السودان اعتراضا على عدم اعلامهم عن الربيع العربي من قبل,الخرطوم – مراسلنا عثمان زول تسبب وصول خبر اندلاع الربيع العربي إلى السودان بموجة كبيرة من الإحتجاجات والعنف شملت جميع المحافظات  وشهدت العاصمة الخرطوم مظاهرات مكونة من عشرات الآلاف من المواطنين. فيما يبدو أنه أول وصول للربيع العربي إلى البلاد بعد أقل من ثلاثة سنوات على اندلاعه في تونس  ورفع الناشطون شعارات مثل “نحن أيضاً” و”لم لا؟”. فيما رفعت الحكومة الشعارين الكلاسيكيين. “السودان ليست كاليمن” و”أمن وأمان واستقرار… ضلك قاعد جوا الدار”  من ناحية أخرى. رفضت السفارة الأمريكية في الخرطوم منح تأشيرة دخول للرئيس السوداني إلى أراضيها  مراسلنا عثمان زول التقى السفيرة الأمريكية في الخرطوم التي أوضحت: ” لطالما أراد البشير وغيره من الرؤساء العرب القدوم إلى الولايات المتحدة كي يزوروا ديزني لاند  سياسة الخارجية الأمريكية واضحة في هذا الشأن. من يطلق الرصاص على شعبه لن يحظى بفرصة التمتع بأحدث ألعابنا الترفيهية  أيضاً. سبب الزيارة غير مقنع. لماذا يود رئيس كالبشير أو القذافي. رحمة الله عليه. زيارة ديزني لاند على الرغم من البلاد العربية كاملة أشبه بمدينة ملاهٍ كبرى”  ويذكر أن وفداً عربياً وصل إلى الخرطوم صباح اليوم في محاولة لثني السودان. حكومةً وشعباً. عن البدء بالربيع العربي  ويضم الوفد شخصيات رسمية وأخرى معارضة من كل من مصر وسوريا وتونس واليمن وليبيا والبحرين  وتأتي زيارة الوفد في محاولة حثيثة لنقل صورة واضحة للسودانيين عن مضار الربيع العربي ومخاطره على الصحة والسلامة العامة  وبحسب المتحدث باسم الوفد. فإن “إحصائية بسيطة لنتائج الربيع العربي تظهر أنه. وفي أحسن الأحوال. ينتهي بنظام أسوأ من النظام المعزول  لدينا دراسات عديدة عن المخاطر الصحية للربيع العربي أيضاً. والتي تتراوح ما بين الصداع بسبب تسارع الأحداث وعدم فهمها. إلى نتائج أخطر كالاكتئاب أو الموت نحراً أو حتى بالأسلحة الكيميائية”  ٤٤٥ مشاركة,F
111,إمرأة تضبط زوجها في وضعية مخلة مع أنبوبة غاز,القرّاء الأعزّاء. تحيّة عطرة …  تأتيكم الحدود من حيث لا تعلمون. بزاوية جديدة وفريدة. زاوية “أنت تسأل ونحن نحاول أن نجيب”  الحدود: الموقع الأفضل عربيّاً في الإجابة على تساؤلات القرّاء والكتّاب والمحققين لدى اعتقالنا  سؤال اليوم وجّهه لنا المواطن أحمد بلعوم من قرية كفر شعبيل المحيطة بالجدار العازل في فلسطين: “الأعزّاء في شبكة الحدود. أحب مقالاتكم كثيراً وأتمنى أن تكبر الحدود لتصبح إمبراطورية إعلامية وحقيقية نسكن فيها جميعاً بحب وعدل وإخاء تحت الحكم الرشيد لفريق تحريركم المبجّل  أحبكم جدّاً ومستعد لفعل أي شيء من أجلكم  سؤالي هو: لماذا لم يتم دحر دولة “الخلافة الإسلامية” حتى الآن رغم كل الضربات الجوّية؟ أليس صحيحاً أن الولايات المتحدة وروسيا وبريطانيا وفرنسا وغيرهم من الكفّار يقصفون دولة الخلافة؟ فكيف تصمد “دولة الخلافة” أمام تكالب الأمم؟ أرجوأن تجيبوني بأقصى سرعة ممكنة. لأنني لا أستطيع النوم ليلاً ولا أريد العمل نهاراً وأفضّل التفكير بهذا السؤال  وتفضلوا بقبول أسمى آيات التقدير والاحترام والشكر. وتحيّاتي للأهل والأصدقاء والأقارب في كفر عيتا ورام الله وفي الشتات ولكل أهلنا في المخيّمات وأولاد عمّي المحامي زهير عبد الهادي والمهندسة سوسن شطّورة وابن عمتي الطبيب حمّودة. وسارة وسامر ومعاذ–“ محرر الحدود لشؤون “دولة الخلافة”: عزيزي أحمد بلعوم. تحية طيبة لك وللأهل والأقارب وسوسن وحمّودة … إلخ الإجابة على سؤالك استغرقتنا ساعات عمل طويلة خلال السنوات الماضية. ومع ذلك. لا مانع لدينا من مشاركة الحقيقة معك ومع سائر القرّاء بالمجّان  أولاً – الحجب والأدعية: بحسب الضليعين في أمور الحياة الدنيا والآخرة. فقد استند تنظيم “دولة الخلافة” إلى تكتيكات تقيه صواريخ الكفّار  فعلى سبيل المثال. استخدم التنظيم مجموعة من الحجب لمناداة الطيران الأبابيل لمساندته في إسقاط الطائرة الروسية  كما صنع  قبّة حديدية لحمايته من الموت المتهاطل من السمّاء باستخدام أدعية خاصة تتسبب بتحويل مسار الصواريخ لتضرب المعارضة المُدربة على الاعتدال بدلاً من المجاهدين  ثانياً – سيارات التويوتا: يستخدم التنظيم سيّارة التويوتا الأقوى في العالم. والتي تعمل بالدفع الرباعي ويصعب أن توقفها مجموعة خرقاء من الصواريخ المتساقطة هنا وهناك  وتعتبر التويوتا خيل المجاهد العصري. فصوت محرّكها أفخم من صهيل الفرس العربية الأصيلة. كما تستطيع السيّارة حمل ثلّة من المجاهدين مع أعلامهم وأسراهم في الأقفاص إلى الموصل. ثم نقلهم برمشة عين لمحاربة التنظيمات الأخرى أو قوّات الأسد في وسط سوريا ومشارف اللاذقية. إضافة لقدرتها على نقلهم إلى عواصم عالمية ليصعدوا منها الجنّة  إنّها التويوتا يا أحمد بلعوم. التويوتا. حجر الأساس في بناء الدول وبقائها وتمددها    ثالثاً – فشل الضربات الجويّة: من المعروف أن الموت هو أحد الموظّفين الصغار لدى المخابرات الأمريكية  وتستطيع الولايات المتحدّة قتل أي إنسان في الزمان والمكان المناسبين حقيقةّ. باستخدام الطائرات بدون طيار التي تحمل صواريخ ذكية تهدم أحياءً بأكملها على رؤوس قاطنيها. تاركة فرص ضئيلة لنجاة الهدف  لكن. وكما تعلم يا بلعوم. فإن الانتصار بالاعتماد على الضربات الجويّة دون وجود مشاة على الأرض أشبه بمحاولة هدم الأهرامات باستخدام فرشاة أسنان  رابعاً – الحرب النفسية: إن ممارسات تنظيم دولة الخلافة. والتي لا تمارسها الدولة السعودية. كفيلة بإخافة الموت لدرجة الموت. فمن ذا الذي يجرؤ على محاولة قتل من يحبّون الموت ويريدون تفجير أنفسهم بالعدو؟ كيف تواجه إنساناً يطمح لأن يبعثر نفسه أشلاءً؟ هذه الأسئلة يواجهها جنود الجيش العراقي بأسلحة بسيطة وشبه إرادة سياسية غير معنيّة بإنهاء المعضلة. فيما عمد الجيش السوري إلى التركيز على عدم التركيز على محاربة تنظيم الدولة. من باب أن الشيء الذي لا تراه يتوقف عن كونه موجوداً. كما يعرف أي طفل في الثالثة من عمره  ١٦٠ مشاركة,F
111,عاجل: البابا يصنع معجزة عبور دوار مزدحم في العاصمة الأردنية,أعلنت منظمة السلام الأخضر مسؤوليتها عن عملية انتحارية في شمال السويد والتي تعتبر الأولى من نوعها  وقام الإنتحاري ا  ى  بقتل نفسه في منزله ببطء عبر تناوله لكميات كبيرة من الدهون خلال عقود طويلة الأمر الذي أدى به في نهاية المطاف إلى الموت بجلطة ناجمة عن ترسب الدهون في شرايينه  وتسببت العملية بترويع مجموعة من المواطنين الذين لم يعتادوا رؤية مشاهد عنيفة كحمل شخص على حمالة سيارة الإسعاف. أو حالات البدانة والتخمة المفرطة   من جهتها أوضحت منظمة السلام الأخضر أن الانتحاري “كان جزءًا من خلية نائمة تم تجنيدها قبل ١٥ عاماً  وكان الانتحاري قد انضم لصفوف السلام الأخضر في ستكهولم قبيل تجنيده بعشرة أعوام”  وأكدت المنظمة أن الخلية لم تكن نائمة فحسب. بل أن “الانتحاري نفسه قد أمضى سنوات طويلة وهو نائم. الأمر الذي ساعد في عدم اكتشافه والإبقاء على العملية في إطار السرية”   من جانب آخر تشهد صفوف داعش وجبهة النصرة خلافات داخلية فيما يتعلق باستخدام الأساليب الجديدة في العمليات الأنتحارية  ففي العام الحالي فقط. قام انتحاري بتفجير نفسه بقيادته وذلك بدلاً من التوجه للهدف المحدد. فيما يعتبر محاولة لنقل الخلية الإرهابية كاملة إلى الجنة  وشهدت إحدى خلايا جبهة النصرة عملية نوعية أخرى عندما قام انتحاري بشنق نفسه مما روع الجيران الذين اكتشفوا الجثة في منزله  ٢٢ مشاركة,F
111,وزارة الشؤون السياسية والبرلمانية تفتتح معهداً للرقص في العتمة,قام المعارض اليساري السابق والوزير الحالي خالد الكلالدة بافتتاح معهد جديد للتدريب على الرقص في العتمة بالقرب من دوار باريس في اللويبدة  وأشار الكلالدة إلى أن المعهد سيخصص لمساعدة المعارضة والحراكيين على تطوير مختلف رقصاتهم التي يقومون بها في العتمة من تسحيج أو دبكة أو دحية  “يأتي هذا المعهد لمساعدة المعارضين والحراكيين على الاستمرار في تقليد قديم جداً من الرقص في الظلام ودون معرفة أحد  هذه الرقصات صعبة فعلاً ولطالما تسببت في إصطدام العديد منهم ببعضهم البعض”  وأوضح المهندس المشرف على بناء المعهد أن خطة بناء المعهد استفادت كثيراً من تجربة مشروع “سكن كريم لعيش كريم”  وأضاف: “واجهنا تحد كبير في إيجاد طريقة للحفاظ على صالات التدريب معتمة بالكامل. لكننا استفدنا من فكرة سكن كريم. ولم نمد المبنى بالكهرباء أساساً”  يأتي إفتتاح هذا المعهد بعد العديد من الإنتقادات التي وجهت للوزير من قبل الحراكيين. مطالبينه بالإستقالة وتسريع الإفراج عن المعتقلين وتحقيق الإصلاح والرفاه الاجتماعي وإقرار قوانين الإنتخاب والأحزاب والمطبوعات وقانون الضريبة الجديد المناسب لكل مواطن أردني. وتوفير وسائل مواصلات وتنقل عبر الزمن  ويرى العديد من المراقبين أن الوزير الحالي قد يضطر إلى الإستقالة والتحول إلى المعارضة مجدداً  وبحسب الخبير السياسي لمنطقة اللويبدة: “فإن الكلالدة يواجه خياراً صعباً. فإما أن يفتتح المعهد. أو أن يستقيل وينضم للحراكيين في أخذ الدروس في هذا المعهد  الخيار صعب لكن المهم أن المعهد افتتح بعون الله”  ١٧٤ مشاركة,F
111,مخاوف من نزوح المزيد من البلاجكة إلى الأردن بعد تفجيرات بروكسل,١  صفّق بقوة*: التصفيق هو أسمى آيات الحب والولاء والانتماء للزعيم. كما أنّه تأييد لمبدأ تأييد الزعيم  صفق ثم صفق ثم صفق. ثم صَفِّر  إن كل كلمة يقولها القائد أو أيّ من رجاله المخلصين هي قول مأثور. . لذا. فهذه هي الحالة الوحيدة التي يسمح لك فيها بمقاطعة الزعيم الرب الإله بعد كل كلمة ونصف من خطاباته التاريخية والمصيرية  صفق حتى تفنى يداك من التصفيق. صفّر حتى ينبري لسانك من التصفير  * ستصاب يداك بالتشققات في نهاية المطاف بسبب التصفيق. لكن. خسئت الأيادي الناعمة الكسولة. وبوركت الأيادي التي تصفّق. صفّق باسم الزعيم الذي وهب. باسم القائد الذي رأى. صفّق باسم زعيمك الأعلى   ٢  شارك بالفعاليات الرسمية: احضر جميع المناسبات الرسمية. تسلّل من المداخل الجانبية إن منعت من الدخول. لا تتغيب عن مسيرة التنديد بالمؤامرة والمتآمرين. أو فعاليات التنديد بالمندّدين. أو اجتماع لتأكيد التفافك حول القائد  تأكّد من المشاركة في حفل تأبين كل حيوان من حيوانات القامات الوطنية  شارك مهما كانت الأحوال الجوية سيئة. ولو وصل الثلج لمترين. فلا عذر يُقبل من وطني مثلك  شارك وأنت على فراش الموت. فلا شيء يعلو على إدمان حب الوطن وفعالياته. أطلق النار على نفسك. مت  ٣  ارفع الأعلام وصور الزعيم: في كل مكان. على سطح منزلك. وزجاج سيارتك الخلفي. في غرفة نومك وفي الحمّام. استخدم لاصقاً أصلياً لتعليق صور الزعيم وزوجته وأولاده وأحفاده وأجداده وأقاربه وأصدقائه. هناك صور بمختلف الوضعيات والأزياء. كتلك التي تظهرهم بالنياشين والرتب المزيفة. أو أثناء ارتداء زي التخرج عند استلام شهادات الدكتوراه الفخرية  علق صورهم العائلية السعيدة في قلبك ووجدانك. وهم يلعبون ويمرحون ويأكلون البوظة  ارفع الأعلام بمختلف الأحجام. اجعلها ترفرف في عنان السماء. لا يهم إن حجبت الرؤية عنك أثناء القيادة. فوطنيتك ستعفيك من أي مخالفة. وسيذهب أي شخص تدهسه فداءً للوطن  ٤  تعلم الزعيق*: زعّق بأعلى صوتك وأثر حماسة الجماهير  اهتف للقائد وحياته. اهتف لموت الأشرار الخونة. تغنى بإنجاز شارع أو رصيف أو مطب. تغنى بأي إنجاز وإن كان صغيراً ومحدوداً بحجم دخلك الشهري  *نحن نعلم أنّ الزعيق من الأمور المستحبة. ولكن حذار. إياك أن يستخفّك الحماس وتتخيل أنّك سوبرمان أو عبّاس بن فرناس. وأن بإمكانك الطيران بالاعتماد على حب الوطن  ٥  ثابر على الاستماع للأغاني الوطنية: أو لا تستمع. شغّلها بأعلى صوت في بيتك أو سيارتك أو على هاتفك الشخصي في أي مكان عام. شعلل الأغاني الوطنية لتصمّ آذان الشياطين المعارضين. خصوصاً تلك التي تتوعد الأعداء بسحق عظامهم وطقطقتها  لا عليك. لن يتجرأ أحد على الانزعاج أو التعبير عن ذلك. وإن ذلك. فهي فرصتك لكشف العملاء وكيل الاتهامات بمكيالين. وهذا. وأيم الحق. قمّة الشجاعة والوطنية والعروبة  ٢ مشاركة,F
111,مقص رقيب يتسبب بجرح مشاعر كاتب,تمكنت سلطات الأمن الصحيّ صباح اليوم. وبالتعاون مع مجموعة من المخبرين. من انقاذ حياة كاتب ساخر في اللحظة الحاسمة. إثر إصابته بجروح تسبب بها مقص الرقابة الذاتية  وجاء في التفاصيل. أن كاتباً تعرّض لجروح طفيفة وأخرى بليغة عندما لم يكتفِ مقص الرقيب بقصقصة المقال. بل بقصقصة روح الكاتب أيضاً  وعلى الرغم من أن الكاتب لم يكن هو من كتب النص. بل زميله في المكتب. ومع ان الرقابة لم تكن سوى رقابة ذاتية. إلّا أن المقص قصّ الأخضر واليابس. متسبباً بجروح حتى لمشاعر زميل الكاتب المذكور  وقال الرقيب الداخلي أثناء جلسة الاستجواب في المخفر أن الكاتب. وليس هو “الذي يعاني من انفصام حاد في الشخصية. إذ يكتب الجملة ويمحوها عشرات المرات. كما يرتعش ويتعرق أرقاً بعد نشر أي من مقالاته”  وأكّد الكاتب التزامه التامّ بوظيفته كرقيب أولاً. وعدم مراءاته أيّاً كان ممن يخالفون قوانين المطبوعات والنشر. حرصاً على عدم تعكير صفو العلاقات العربية-العربية-العربية. أو تعكير مزاج أبو محمد في هيئة الأمر والنهي. أو هيئة المرئي والمسموع. أو دائرة البوح والتعبير  وهكذا. تماثل كاتبنا العزيز للشفاء بالإكراه. وانطلق لتناول المهدئات. ولكتابة مواد أقلّ جرأةً. وبالتالي أكثر حكمةً وأمناً وأماناً. كإصابة كاتب أو مقتله أو انتحاره. بعيداً عن ذكر الأمور التي قد تغضب أي أحد  ٣٧ مشاركة,F
111,أردوغان يضيف صورته إلى العلم التركي بعد فوزه الأخير,أعلن مجلس إدارة البلاد التركية. عن تعديلات في هيئة العلم  التركي. لإضافة صورة الرئيس رجب طيب أردوغان. لأنّ سلطان السلاطين. حفيد العثمانيين وأتاتورك في آن معاً. صانع الخلافة العلمانية. بات الرمز الأعظم والأكبر لتركيا. وكان لا بد من حجز مكان له في صدّر العلم التركي. وتصغير باقي الرموز إلى زاوية العلم  ولن تقتصر التعديلات على العلم. إذ سيتم زيادة ألف زنزانة إضافية الى جانب الألف غرفة في قصر أردوغان المنيف. وهو ما سيتيح له نظرة أكثر قرباً وشمولية على رعاياه في الأحزاب المعارضة. كما سيتمكن من تعليمهم كيف تكون الديمقراطية والحرية على أصولها  وتأتي هذه التعديلات بعد أن قلب الإخوان الأتراك المسلمون صناديق الاقتراع على رؤوس معارضيهم. محققين فوزاً ساحقاً في الانتخابات التشريعية المبكّرة. والتي جرت بفضل أردوغان الذي يشجيع المشاركة المبكرة حال رغب الجميع بانتخابه  وتبادل أردوغان التهاني مع نفسه ومع رئيس وزرائه بهذا النصر الذي وصفاه بالمؤزّر والمؤبّد. كما افتتح الإخوان العرب المسلمون محطّات سريّة لاستقبال التهاني في جميع أنحاء الوطن العربي باستثناء مصر. حيث يتوقّع المشجعون العرب أن يحرر أردوغان فلسطين والقدس والمحمّدين مرسي وبديع وبقية المساجين الذين ينتشرون في معتقلات الأنظمة العربية. نافين ادّعاءات خليفتهم بأنّه لا يكن العداء لإسرائيل  ١١٩٤ مشاركة,F
111,مصادر في الحركة الإسلامية: لا حول ولا قوة إلا بالله,تمر جماعة الإخوان المسلمين اليوم بما سماه مراقبون “ثاني أكبر تحد لها منذ إنطلاق فعاليات مهرجان جرش”  إذ أفادت تسريبات عالية المستوى أن “الدولة بصدد حل جماعة الإخوان. بكفيهم خلينا نخلص”  وتمثل هذه الخطوة خطرا كبيرا على الجماعة. وقد يؤدي إلى عودتها إلى سراديب العمل الخيري. كما كان من المفروض أن تكون  وفي حال تنفيذ التهديدات ومصادرة أموال الجماعة. فإن الدولة قد تتمكن أخيرا من سد عجزها المتراكم. ورفع الميزانية المخصصة سنويا للفساد  وتخشى قوى المعارضة اليسارية والقومية (أو ما تبقى منها) من مغبة تنفيذ الدولة لتهديداتها  إذ وفي حال حدوث ذلك. فإن موجة الإحتجاجات القادمة في البلاد ستتكون من كاتب هذا المقال وابن عمه اللزم. ولن توجد الحركة الإسلامية لركوب تلك الموجة وتجييرها. مما قد يفوت على البلاد فرصة التحول إلى المصير السوري أو المصري  ويمثل ذلك هاجسا للأحزاب اليسارية الأردنية. التي قد تواجه ظروفا سياسية محلية ستجبرها على تطوير خطاب لا يعتمد على التناقض مع الإسلاميين كنقطة وحيدة ويتيمة  وفي ظل اعتقال خمسة من كوادر الحركة الإسلامية. يبدو ان الحركة قررت التضحية بهم حيث أن الامور المحلية لا تجلب لهم أي اهتمام وفضلت  الانخراط في المشهدين السوري والمصري  يرى مراقبون أن هذا الإلتزام يشير بوضوح إلى أن ذلك قد يؤدي ان تحل الحركة نفسها “بنفسها”وتفوت على الدولة فرصة تحقيق نصر عليها. مثلما نجحت مؤخرا بذلك جريدة العرب اليوم  ٥١ مشاركة,F
111,رموز نظام البعث يخدعون العراقيين بموتهم قبل مواعيد الإعدام,نفت سلطات الاحتلال الإسرائيلية أن تكون الأحداث الأخيرة في سجونها إضراباً عن الطعام. مشيرة إلى أن السجناء الفلسطينيين يخضعون أنفسهم لـ “ريجيم” قاس حفاظاً على رشاقتهم ورفضاً للدلال والدلع الكبيرين الذين تقدمهما الحكومة الإسرائيلية في سجونها بالمقارنة بالسجون العربية  وتتهم اسرائيل الأسرى الفلسطينيين بمحاولة تقليل حجم أجسادهم حتى يتمكنوا من العبور من خلف القضبان والهرب من السجن للعودة إلى العمليات الارهابية لترويع المواطنين الإسرائيليين الآمنين. ومن ثم العودة إلى الأسر مرة أخرى  وكان الناطق الإعلامي باسم الجيش الاسرائيلي “أفيخاي أدرعي” قد وضّح أن الأمر “لا يعدو أن يكون خطوة فلسطينية جديدة في عرقلة المسيرة السلمية. ورفساً لنعمة الأمن والأمان. التي تقدّمها إسرائيل منذ نشأتها”.  وأضاف “لقد أشعلنا أصابعهم العشرة. وضاعفنا حجم المستوطنات ليكون لكل واحد منهم ٧٠ جاراً يتوصى به. وبذلنا قصارى جهدنا لجمع أكبر عدد منهم في مكان واحد وإقامة الولائم على شرفهم. ورغم ذلك. نواجه بالرفض وبالحمية الغذائية”. ثم أجهش بالبكاء. وذهب ليصلي ركعتين لتحقيق السلام  وأعرب السفير الأمريكي دونالد تشيت عن قلقه من تفاقم “الاستبزاز” العاطفي الذي يمارسه الفلسطينيون على جيرانهم الاسرائيليين. مؤكدا أن السلطة والفصائل الفلسطينية يخيبون آمال جيرانهم الذين ما فتئوا يحملون شعار “الحب لا الحرب”      ٣٨١ مشاركة,F
111,سرّي وخاص: الحدود تنشر الصور التي ابتز بها نتنياهو مواقف كيري,محمود أبو غضب – جاسوس الحدود نجح رئيس الوزراء الإسرائيلي بنيامين نتنياهو في ابتزاز وزير الخارجية الأميريكي جون كيري بمجموعة من صور سريّة فضائحية تظهره بوضعيات مخلّة وخادشة للآداب والحياء العام (والتي قد تتيح اعتقاله في عدد من الدول العربية)  وعرض بنيامين نتنياهو هذه الصور على جون كيري أثناء زيارته للأراضي المحتلّة. مهددّاً إياه بنشرها وعرضها على العلم الإسرائيلي حول العالم إن لم يقم كيري بتعنيف الفلسطينيين واتهامهم بالإرهاب وعرقلة الحمامة السلمية  وتمكنت الحدود من اختراق كواليس المؤتمر الصحفي. حيث استطاع مراسلنا أبو غضب من أخذ نسخة من الصور التي تمت بها عملية الابتزاز. نعرض لكم بعضاً منها:   الصورة الأولى: اتهم نتنياهو جون كيري بانعدام الذكاء السياسي والفشل في التقاط الفرص السياسية كفشله المضحك في التقاط هذه الكرة. فقد انهمرت كرات الفرص في الشرق الأوسط أمطاراً غزيرة دون أن يتمكن كيري من إمساكها. ولا حتى التقاط أيّ منها بعدما سقطت كلها على الأرض  حيث فشل في التقاط كرة الصراع اليمني في الملعب الخليجي. ولم يحقق أي تقدم في المفاوضات الفلسطينية الاسرائيلية حتى عندما كان اللعب هادئاً. وكان فشله ذريعاً في عكس نجاح الاتفاق النووي مع إيران على مواقعه في ملعب سوريا    أما الصورة التالية. فقد اعتبرها نتنياهو واحدةً من أهم الصور التي كسر بها شوكة وزير الخارجية الأمريكي  فقبل تسلمّه مهام وزير خارجية أمريكي فاشل. وقبل أن يكون مرّشح انتخابات رئاسية أمريكية فاشل. كان كيري مغني جوقةٍ فاشل أيضاً  وتظهر الصورة كيري وقد بدأ بالتغريد خارج سربه في إحدى الجوقات  ونوّه نتنياهو أن دليل الفشل الدامغ. يثبت أن الأداء السيء لوزير الخارجية في حفظ مقاطعه والدور الذي يمثّله. كان مطابقاً لنفس الخطأ الذي ارتكبه بشأن الردّ على الضربات الكيماوية في سوريا عام ٢٠١٣    الصورة الثالثة: لم تغادر المرارة وضيق العين جون كيري منذ فشله في السباق الرئاسي مع جورج  دبليو  بوش. ورغم تقلّده منصب وزير الخارجية. لم يتوقف عن الشعور بالغيرة من الرؤساء والملوك والزعماء الذين لم يستطع بلوغ  مراتبهم. بدلالة هذه الصورة التي تظهر حجم ضيقه برئيس بلاده  إن هذه الصورة. لو رآها أوباما. بهذا الحسد المكبوت في وجه وزير خارجيته. لتسببت بتجريده من منصبه والامتيازات والواسطات. ولربما رماه إلى شوارع واشنطن بلا منصب يأويه أو تقاعد مدى الحياة  ١٦٣ مشاركة,F
111,إجراء أول دراسة واسعة النطاق على مجلس النوّاب,يوماً بعد يوم. يبرز الرئيس القائد البطل الأخ المناضل محمود عبّاس أبو مازن كأحد أبرز اللاعبين والمؤثرين في الشرق الأوسط  وبات دور الرئيس الفلسطيني حساساً وأساسياً بعدما أيّد العمليات العسكرية السعودية ضد اليمن كونه يمثّل صوت العقل الرزين. لكن بحزم أيضاً كما عوّدنا  وكما هو معروف فإن عملية “عاصفة الحزم” لم تكن واردة في الحسبان لولا قيام السيد الرئيس المناضل الأخ البطل بإعطاء الضوء الأخضر  وتنبع قوّة الرئيس الفلسطيني من كونه صاحب أكبر موكب رئاسي عرفه التاريخ. إلى جانب كونه أكثر الرؤساء العرب قرباُ من اسرائيل من الناحيتين الجغرافية والمعنوية  ويترأس السيد الرئيس دولة رام الله منذ نحو عشرة أعوام في واحدة من أطول الفترات الرئاسية الديموقراطية في المنطقة  ويمتلك الرئيس الفلسطيني حصّة ٥١٪ من دولة رام الله وما فيها من مصانع العملة النادرة والتي تعرف بالـ “إن جي أوزز”  وعرف القائد الأخ المناضل السيد الرئيس بحنكته السياسية منذ توليه عرش الحكم. حيث عمل على تشتيت العدو الصهيوني عبر فصل قطاع غزة عن دولة رام الله  وحرص الرئيس على إنشاء كونفيدرالية بين دولة رام الله وما تبقى من كامل التراب الوطني الفلسطيني. بحيث شكّل كنتونات تخترق الأراضي الإسرائيلية في الضفة الغربية. وقام بافتتاح حديقة حيوانات بالتزامن مع وقفة التضامن مع ضحايا مخيم اليرموك بغرض بلبلة العدو  ١٤٩ مشاركة,F
111,وجبة ماكدونالدز تحفيزية لكل نائب يحضر الجلسة,إنطلق رئيس الحكومة عبد الله النسور على متن مجموعة من الدبابات متوجهاً إلى مجلس النواب الأردني كي يسيطر على الإشتباكات الجارية بين الأطراف المتعاركة  ويتوقع محللنا العسكري أن يقوم  سلاح الجو بالتدخل في أقرب وقت ممكن في حين تسود حالة من الترقب لمعرفة نتائج المعارك  هذا وقد أمر وزير الشؤون السياسية بتحصين المبنى بالأكياس الرملية. وزرع المنطقة بالألغام المضادة للدبابات والأفراد  ويتساءل مراقبون عن الجهة التي تقوم بتسليح النواب ومدهم بالعتاد  هذا وقد اثار الموقف تخوفا لدى الحكومة الاردنية التي تتباهى دوما بنعمة الامن والامان على مواطنيها. ويتوقع خلال الايام القليلة المقبلة أن يتم حل هذه المهزلة والرجوع الى أيام لم يحصل فيها ذلك. أيام الأحكام العرفية الجميلة  وفضلت الحدود عدم ذكر أسماء النواب بعينهم. خوفا على سلامة كتاب الحدود ومقرها من هجوم انتقامي مسلح من قبل النواب سابقي عدم الذكر  ٥٤٨ مشاركة,F
111,روسيا تؤكد أن الأهداف الإيرانية اعترضت مسار صواريخها,شَمِتَ الأمريكان في اجتماعاتهم السرّية من سقوط صواريخ روسية في الجمهورية الاسلامية الإيرانية بدلاً من استهداف دولة الخلافة الاسلامية. إلّا أن الروس أكّدوا أن الأهداف الإيرانية هي التي اعترضت طريق الصواريخ  وقال محللون وخبراء عسكريون روس أن الصواريخ التي أطلقت لا يمكن أن تخطئ. لكونها تحمل تكنولوجيا متطورة تضمن إصابة الهدف بنسبة ١٠٢%. إذ تستطيع التقنيات المستعملة  تمييز أهداف دولة الخلافة من خلال العلامات الدالة على الأهداف. مثل اللحى الطويلة. والعمامات السوداء. والسواك. بالإضافة إلى التطرف  إلّا أن التشابه  بين أفراد تنظيم دولة الخلافة والإيرانيين (شكلياً وعملياً). جعلت الصواريخ الروسية تنقض على أول “معمم” إيراني عند مرورها فوق الأراضي الإيرانية وتصيبه في دماغه ومعتقداته بشكل مباشر  وأضاف الخبراء بأن الصواريخ التي ستطلق في المستقبل سيتم ضبطها جيداً لمعرفة الإختلافات بين السنة والشيعة. مثل طريقة الوضوء. ووضعية اليدين أثناء الصلاة. وطول اللحى. وشكل الحجاب. كما ستميز الصواريخ بين مؤيدي “علي بن أبي طالب” وأنصار “عثمان بن عفان” في إنتخابات قريش التي جرت قبل ١٤١٣ عاماً  ٨٢٧ مشاركة,F
